spatial_level,attachment_type,source_id,target_region_id,weight,notes_module06,notes_module09
34,import,International Imports,Polokwane,1.0,conservative hydro_import proxy; module 09 resolves final bus IDs,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,import,International Imports,Polokwane,1.0,conservative hydro_import proxy; module 09 resolves final bus IDs,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,import,International Imports,Polokwane,1.0,conservative hydro_import proxy; module 09 resolves final bus IDs,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
34,export,International Exports,Polokwane,1.0,gross exports proxy uses demand weights because Eskom source has no border split; module 09 may replace,V1 proxy: attached to Polokwane; Cahora Bassa HVDC routing via Apollo substation
